Train GT,Train preds,diff
307.65,310.84344,3.193451
309.0,308.39526,0.6047363
304.1,307.82785,3.7278442
300.05002,306.33643,6.2864075
300.4,303.67154,3.2715454
308.35,301.76718,6.5828247
313.15,303.7863,9.3637085
315.30002,308.2653,7.034729
314.5,312.8849,1.6151123
285.6,315.6229,30.022888
271.6,305.894,34.294006
279.15,290.9152,11.765198
281.9,282.18063,0.28063965
278.8,279.24527,0.44528198
276.9,278.16138,1.261383
280.1,277.5594,2.540619
275.94998,278.5769,2.6269226
276.25,278.40103,2.1510315
279.35,278.1263,1.2236938
290.2,279.02606,11.17395
291.95,283.87323,8.076782
293.6,289.01135,4.5886536
298.45,293.1562,5.2938232
292.7,297.3232,4.6231995
291.3,297.827,6.527008
288.0,296.39166,8.391663
293.95,293.5296,0.42041016
299.1,293.28918,5.8108215
299.5,295.80215,3.6978455
294.80002,298.49994,3.6999207
298.05,298.598,0.54800415
300.1,299.01428,1.0857239
311.9,300.08914,11.810852
316.35,305.41385,10.936157
307.65,311.9716,4.321594
314.4,313.25662,1.1433716
310.15,314.8439,4.6939087
312.2,314.20007,2.000061
310.85,313.75015,2.9001465
312.55,312.93262,0.3826294
302.0,312.89154,10.891541
316.05002,309.12497,6.925049
316.45,310.77002,5.6799927
320.40002,313.7553,6.6447144
312.90002,317.70175,4.8017273
307.90002,317.66574,9.765717
308.19998,314.40244,6.2024536
307.0,311.3149,4.314911
304.2,308.90732,4.707306
304.80002,306.5491,1.7490845
305.9,305.30545,0.59454346
304.5,305.31726,0.81726074
305.69998,305.26617,0.43380737
303.1,305.71628,2.616272
298.2,305.22733,7.027313
297.4,302.81543,5.415436
298.30002,300.3593,2.0592957
293.8,299.08688,5.2868958
296.35,297.0192,0.66918945
298.55002,296.40503,2.144989
297.0,297.30597,0.30596924
289.0,297.85965,8.85965
296.30002,295.23087,1.0691528
291.95,295.19278,3.2427673
287.5,294.37906,6.879059
294.4,292.04498,2.355011
284.7,292.55283,7.8528137
261.25,290.27496,29.024963
258.4,279.87903,21.479034
264.55,269.8658,5.3158264
266.65,265.2889,1.361084
267.95,264.5531,3.3969116
259.7,265.8072,6.1071777
260.25,264.66132,4.411316
266.2,263.51294,2.6870728
266.05,264.72858,1.3214111
264.6,266.22827,1.6282654
263.65,266.90823,3.2582397
260.65002,266.8328,6.18277
260.7,265.55362,4.853607
262.9,264.35016,1.4501648
257.0,264.26685,7.2668457
270.35,262.59525,7.7547607
273.45,265.46854,7.981476
276.3,269.80734,6.4926453
268.4,274.25882,5.8588257
258.35,274.54306,16.193054
272.05002,270.07626,1.9737549
285.2,270.20547,14.994537
273.5,276.11255,2.6125488
269.1,277.7805,8.680481
269.55,276.17337,6.6233826
266.15,274.20117,8.051178
267.1,271.54623,4.446228
264.95,269.87543,4.925415
264.85,268.31824,3.4682312
262.0,267.30988,5.3098755
264.05002,265.87384,1.823822
263.25,265.50504,2.2550354
263.05002,265.32086,2.2708435
265.4,265.22852,0.17147827
265.8,266.00385,0.20385742
262.80002,266.93155,4.131531
265.05002,266.6188,1.5687866
264.7,266.8085,2.10849
267.45,266.941,0.5090027
271.55002,267.9434,3.6066284
276.15,270.26553,5.8844604
280.94998,273.822,7.1279907
308.65002,278.28397,30.366058
305.69998,291.7283,13.97168
299.85,302.4935,2.6434937
301.6,306.40164,4.8016357
298.0,307.12683,9.126831
298.45,304.93216,6.482147
297.5,302.54706,5.047058
297.65002,300.45004,2.8000183
295.0,299.17096,4.1709595
302.1,297.60703,4.492981
313.8,299.12207,14.6779175
320.40002,305.52545,14.874573
322.65,313.9179,8.732086
322.0,320.91095,1.0890503
316.9,324.57944,7.6794434
306.80002,323.65753,16.857513
318.05,317.5353,0.51467896
328.45,316.04276,12.407257
323.15,320.5398,2.610199
324.6,323.40808,1.191925
323.4,325.26514,1.8651428
328.4,325.5906,2.8093872
325.49997,327.16757,1.6676025
320.65,327.41748,6.7674866
316.9,325.21933,8.319336
316.94998,321.52975,4.579773
318.75,318.68304,0.06695557
316.1,317.839,1.7389832
315.2,316.99744,1.7974243
314.7,316.17435,1.4743347
310.30002,315.50668,5.206665
317.35,313.5036,3.846405
323.19998,314.49066,8.70932
316.94998,318.3942,1.4442139
321.55002,319.50858,2.0414429
316.1,321.07553,4.975525
322.80002,320.08865,2.7113647
327.35,321.15353,6.196472
337.65,324.246,13.403992
334.1,330.9369,3.1631165
339.25,334.999,4.251007
343.40002,338.62326,4.776764
343.55,342.2796,1.2703857
352.0,344.53702,7.462982
350.1,348.6835,1.4165039
348.8,351.089,2.2890015
356.45,351.357,5.0930176
356.2,353.6679,2.5321045
347.55,355.66504,8.115051
358.85,353.33612,5.5138855
365.94998,354.69064,11.259338
365.55,359.62122,5.928772
362.75003,363.81213,1.0621033
355.5,365.007,9.506989
368.15,361.76285,6.387146
373.15,363.0049,10.145081
373.25,367.35123,5.898773
363.4,371.20923,7.8092346
366.30002,369.54614,3.2461243
365.1,367.54907,2.4490662
359.85,365.68472,5.834717
353.65,362.5087,8.858704
352.1,357.629,5.5289917
354.85,353.37735,1.4726562
352.9,352.06198,0.8380127
342.85,351.5995,8.749481
339.05002,347.76648,8.716461
347.6,342.76675,4.833252
345.05,342.60895,2.44104
333.65,343.3019,9.6519165
327.25,339.6754,12.425415
327.2,333.49338,6.2933655
321.25,328.7595,7.509491
337.1,324.06195,13.038055
333.45,327.28674,6.163269
337.2,330.74387,6.4561462
328.8,334.60867,5.8086853
321.94998,333.9362,11.986206
330.65,329.3105,1.339508
325.65,328.3651,2.7151184
335.30002,327.07907,8.220947
329.25,329.9262,0.6762085
328.4,330.81113,2.4111328
326.15,330.39847,4.248474
329.5,328.81174,0.68826294
328.05,328.696,0.6460266
334.55002,328.56143,5.9885864
327.05,331.01218,3.9621887
316.75003,330.5346,13.784576
305.55002,325.28308,19.733063
309.65,316.15524,6.505249
313.45,310.62158,2.8284302
324.94998,309.7041,15.24588
328.45,315.1444,13.305603
336.95,322.30807,14.641937
329.15002,330.9508,1.8007812
331.8,333.86026,2.0602722
335.0,334.6806,0.31939697
333.8,335.5906,1.7906189
338.69998,335.616,3.0839844
360.15002,337.1542,22.99582
350.55,347.0704,3.4795837
346.09998,352.4045,6.304535
345.6,352.2654,6.6654053
345.35,349.90375,4.5537415
348.85,347.4378,1.4122009
347.65,347.15768,0.49230957
338.45,347.25308,8.80307
331.0,343.841,12.841003
332.05002,337.59418,5.544159
335.15,333.1122,2.0377808
339.7,332.13947,7.560547
344.3,334.5936,9.70639
335.0,339.24005,4.2400513
332.85,339.34436,6.4943542
343.25,337.01447,6.2355347
343.30002,338.74185,4.5581665
348.59998,341.26367,7.3363037
341.9,345.22247,3.3224792
342.34998,345.5478,3.197815
354.0,344.60712,9.392883
357.45,348.09592,9.354095
358.80002,353.19122,5.608795
359.35,357.45123,1.8987732
356.40002,359.95908,3.5590515
349.0,359.64877,10.648773
353.2,355.4631,2.263092
338.50003,353.02676,14.526733
339.1,346.38675,7.286743
338.45,340.98334,2.5333252
349.1,337.8075,11.292511
346.65,340.81827,5.831726
343.75,344.02997,0.27996826
348.49997,345.06396,3.4360046
344.4,346.84204,2.442047
344.45,346.6136,2.1635742
340.30002,345.77267,5.4726562
336.05002,343.3874,7.337372
333.1,339.68842,6.5884094
337.75,335.77066,1.9793396
325.65,335.05533,9.405334
327.25,331.0798,3.8298035
319.0,328.14386,9.14386
317.1,323.5381,6.43808
322.80002,319.42368,3.3763428
339.8,319.2117,20.588287
332.5,327.09653,5.403473
333.85,332.15674,1.6932678
333.30002,334.98425,1.6842346
332.15002,335.7306,3.5805664
322.6,334.9639,12.363892
318.9,330.19797,11.297974
327.35,324.38055,2.969452
329.15002,323.54077,5.609253
328.4,325.4165,2.98349
339.84998,327.31992,12.53006
331.35,333.0739,1.7239075
330.7,334.72195,4.021942
330.5,334.08374,3.5837402
328.19998,332.75418,4.554199
324.4,330.741,6.3410034
329.75,327.7456,2.0043945
331.3,327.571,3.7289734
337.6,329.03806,8.561951
330.15,333.03525,2.885254
326.94998,333.54218,6.5921936
324.44998,331.42102,6.971039
334.84998,328.18747,6.662506
332.5,329.76505,2.7349548
329.5,331.50806,2.0080566
322.55,331.52924,8.979248
321.75003,328.26343,6.513397
314.15002,324.7728,10.622772
320.45,319.59778,0.8522339
317.85,318.16916,0.31915283
318.65002,317.56244,1.0875854
316.9,317.84677,0.94677734
326.6,317.72324,8.87677
330.6,321.29642,9.303589
333.25,326.4287,6.821289
339.7,331.29907,8.40094
347.80002,336.80853,10.991486
360.6,343.6445,16.955505
359.4,353.40878,5.991211
357.4,359.9403,2.5403137
355.30002,361.87198,6.5719604
359.35,360.39322,1.0432129
360.25003,359.66028,0.5897522
353.30002,359.70807,6.4080505
357.0,357.219,0.21899414
361.9,356.13535,5.7646484
362.45,357.8642,4.5858154
367.45,360.18213,7.2678833
372.4,363.80624,8.59375
368.30002,368.47675,0.1767273
376.44998,370.13815,6.3118286
380.55002,373.19452,7.3554993
376.25,377.16113,0.9111328
375.44998,378.24426,2.794281
381.6,377.46155,4.1384583
385.15,378.59286,6.557129
386.75,381.34628,5.403717
380.05002,384.24823,4.1982117
383.7,383.5065,0.19351196
374.45,383.0226,8.572601
369.75,379.24796,9.497955
357.9,373.8029,15.902893
350.95,365.20203,14.252014
350.95,356.00702,5.057007
365.2,350.11365,15.086365
365.94998,353.2774,12.672577
366.2,358.97345,7.2265625
365.7,363.67102,2.0289917
367.74997,366.1021,1.6478577
371.2,367.60526,3.594757
370.7,369.5324,1.1676025
371.95,370.65762,1.2923889
365.80002,371.49945,5.6994324
373.85,369.47903,4.3709717
368.44998,370.24585,1.7958679
370.6,369.636,0.9640198
369.65,369.56033,0.089660645
367.3,369.3324,2.0324097
372.9,368.21625,4.6837463
371.45,369.37186,2.0781555
374.15,370.37634,3.7736511
381.6,371.99826,9.601746
381.15,376.13354,5.016449
378.44998,379.46436,1.0143738
380.0,380.1691,0.1690979
377.85,380.1844,2.334381
377.75,379.07272,1.3227234
376.55,377.8787,1.3287048
373.95,376.612,2.6619873
377.6,374.7733,2.8267212
379.30002,374.8178,4.4822083
376.75,376.22134,0.528656
369.65,376.63123,6.9812317
380.55002,373.77487,6.7751465
389.85,374.99265,14.857361
391.6,380.89743,10.702576
381.80002,387.0089,5.208893
382.15,387.12958,4.9795837
391.90002,385.03055,6.8694763
396.0,386.57834,9.421661
400.3,390.47223,9.827759
401.44998,395.38687,6.0631104
394.9,399.25534,4.3553467
383.44998,398.80923,15.359253
384.30002,392.51913,8.219116
382.25,386.55563,4.3056335
383.4,382.13553,1.2644653
398.0,380.38486,17.615143
398.15002,385.91663,12.233398
391.25,392.22723,0.9772339
386.90002,393.8824,6.982361
394.9,391.5082,3.3917847
396.55,391.50552,5.044464
392.95,393.0424,0.09237671
393.1,393.21158,0.111572266
398.44998,392.82034,5.6296387
395.35,394.36847,0.98153687
395.09998,394.91797,0.18200684
411.15002,394.7684,16.381622
432.65,400.4149,32.235107
424.6,414.04666,10.553345
429.55,422.78577,6.764221
430.8,428.19498,2.605011
437.25,430.87894,6.371063
441.35,433.7756,7.574402
432.40002,437.13553,4.735504
426.25,436.48013,10.230133
424.05002,432.26697,8.216949
415.8,427.24036,11.440369
408.35,420.66122,12.311218
407.25,412.99017,5.7401733
407.25,407.13525,0.114746094
406.85,404.1034,2.7466125
397.09998,403.15915,6.0591736
389.1,399.8017,10.701691
395.84998,393.76642,2.0835571
396.4,391.49722,4.902771
391.1,391.8109,0.710907
383.65,391.04575,7.395752
392.69998,387.36215,5.3378296
401.6,387.41174,14.188263
397.69998,392.30862,5.3913574
402.30002,395.78323,6.5167847
398.65,399.15317,0.5031738
405.05,399.88965,5.1603394
404.65,401.71414,2.935852
408.6,403.13492,5.465088
405.55002,405.3059,0.2441101
398.25,405.82834,7.5783386
401.65,402.7881,1.138092
399.5,400.6911,1.1911011
400.15,398.92593,1.22406
385.8,398.1595,12.359497
381.55,392.67746,11.127472
377.35,385.75473,8.404724
387.09998,379.26855,7.831421
385.8,379.14874,6.651245
386.85,381.0589,5.791107
391.4,383.47916,7.9208374
393.24997,386.9852,6.2647705
372.8,390.34164,17.541656
375.0,384.61154,9.611542
380.9,378.36072,2.5392761
387.6,376.53162,11.06839
379.25,379.65826,0.40826416
375.4,380.27356,4.8735657
378.0,378.23657,0.23657227
380.94998,376.98956,3.9604187
369.9,377.6757,7.775696
366.1,374.58023,8.480225
354.8,369.76337,14.963379
363.55,361.77228,1.77771
375.0,359.04086,15.959137
373.2,363.81018,9.389832
369.9,368.9181,0.9819031
383.65,370.988,12.661987
380.05002,376.53586,3.5141602
374.09998,379.89087,5.7908936
384.75,378.8233,5.926697
390.05002,380.553,9.497009
378.0,384.68768,6.687683
383.0,383.49905,0.49905396
383.0,382.59467,0.40533447
388.44998,382.1134,6.3365784
393.05002,384.03772,9.012299
391.95,387.8934,4.05661
391.80002,390.60062,1.1994019
394.55,391.7817,2.76828
384.45,392.96396,8.513947
393.4,389.8631,3.5368958
397.3,389.62286,7.677124
397.15,392.04242,5.1075745
395.25,394.5023,0.7477112
395.6,395.32925,0.27075195
405.19998,395.3437,9.856293
401.6,398.63797,2.9620361
401.6,400.63007,0.9699402
395.65002,401.35388,5.7038574
397.5,399.0894,1.589386
388.44998,397.1614,8.711426
378.7,392.66638,13.96637
364.8,385.11276,20.312775
378.7,373.87802,4.821991
375.15002,370.79367,4.3563538
387.5,370.6552,16.844788
373.7,376.54587,2.8458557
386.1,377.2159,8.884094
379.1,380.53052,1.4305115
390.6,380.94724,9.652771
390.5,384.54608,5.9539185
377.35,387.95596,10.605957
367.25,384.95926,17.709259
358.7,376.72888,18.02887
342.3,366.29245,23.992462
345.85,352.6894,6.839386
348.8,344.4686,4.3313904
336.65002,342.49734,5.8473206
336.55002,338.9304,2.380371
336.4,336.27786,0.12213135
323.25,335.0285,11.778503
341.5,329.80792,11.692078
335.2,332.3292,2.870819
330.65,334.23947,3.5894775
344.75003,333.57455,11.175476
343.1,337.81888,5.281128
343.69998,341.57938,2.1206055
340.95,344.0182,3.0681763
343.50003,343.95682,0.4567871
344.8,343.9796,0.82037354
358.65,344.47733,14.172668
346.35,350.37775,4.0277405
344.4,351.10617,6.7061768
330.55,348.9111,18.361115
330.90002,341.0721,10.172089
320.45,334.31293,13.862915
330.35,326.46558,3.88443
325.65,324.97406,0.67593384
326.45,324.4747,1.9753113
334.6,324.95084,9.64917
340.0,328.86108,11.138916
345.05,334.73874,10.311249
345.44998,341.196,4.2539673
340.75,345.60245,4.8524475
342.34998,345.70782,3.3578491
352.15002,344.77963,7.370392
356.65,347.58142,9.068573
359.3,352.3714,6.928589
374.59998,357.06726,17.532715
357.15002,365.9399,8.789886
365.7,366.02267,0.32266235
361.30002,366.09323,4.793213
385.84998,364.31427,21.535706
387.6,372.04535,15.554657
389.05,380.992,8.057983
378.75,387.48956,8.739563
354.0,386.5899,32.589905
350.1,373.6613,23.56128
349.94998,359.47855,9.528564
347.7,350.10342,2.4034119
342.34998,345.168,2.8180237
349.6,341.6942,7.905792
350.35,343.0003,7.349701
349.6,345.9753,3.6246948
358.90002,348.28937,10.610657
347.44998,353.26392,5.8139343
338.69998,352.8501,14.150116
342.6,347.25137,4.651367
340.95,343.405,2.4549866
343.25,340.96793,2.282074
350.2,340.85812,9.341888
346.3,344.38007,1.9199219
350.4,346.39166,4.0083313
349.4,348.7629,0.63708496
349.05002,349.97568,0.9256592
335.55,350.16458,14.6145935
329.65,344.6162,14.966217
338.85,336.84027,2.009735
339.1,334.72195,4.3780518
339.05002,335.4923,3.5577087
338.2,337.05185,1.1481628
331.65002,338.04794,6.3979187
327.55,335.9718,8.421814
325.2,332.04648,6.846466
322.75,328.0536,5.303589
332.85,324.6016,8.248413
323.9,326.53476,2.6347656
336.00003,326.2026,9.797424
328.85,330.00723,1.1572266
338.69998,331.0742,7.6257935
337.75,334.6931,3.0568848
332.15002,337.4653,5.315277
337.90002,336.6965,1.2035217
340.30002,337.1741,3.1259155
336.8,338.7899,1.9898987
330.1,338.79938,8.699371
329.75,335.60556,5.8555603
329.84998,332.32678,2.4768066
322.0,330.25592,8.25592
324.0,326.3646,2.3645935
323.5,324.09625,0.59625244
317.05,323.05826,6.0082703
322.30002,320.4203,1.8797302
321.45,320.2825,1.167511
323.65,320.7611,2.8888855
324.34998,322.19247,2.1575012
312.5,323.7395,11.239502
307.35,320.235,12.884979
313.00003,314.40945,1.4094238
308.3,312.03397,3.7339783
307.40002,309.89993,2.4999084
308.3,308.3545,0.054504395
310.50003,307.95374,2.5462952
317.95,308.96625,8.983765
315.0,312.9878,2.012207
311.75003,315.49442,3.7443848
316.05002,315.38074,0.669281
315.40002,316.04553,0.6455078
309.4,316.43066,7.03067
310.1,314.2793,4.179291
307.2,312.31033,5.110321
307.75,309.9912,2.241211
304.15,308.60553,4.455536
297.55002,306.69406,9.144043
298.7,302.89508,4.1950684
296.55,300.30423,3.754242
294.75,298.25595,3.505951
295.15,296.51245,1.3624573
282.1,295.6885,13.588501
297.8,290.80255,6.9974365
299.05,292.06036,6.989624
302.35,295.30502,7.044983
300.0,299.42554,0.5744629
302.25,301.5673,0.68270874
302.55,303.16095,0.6109619
300.85,304.07098,3.2209778
294.55002,303.7513,9.201294
287.2,300.76953,13.569519
297.30002,295.2981,2.0019226
301.5,294.5777,6.9223022
304.25,297.14954,7.100464
304.05,301.01102,3.038971
308.75,303.93637,4.813629
307.30002,307.31863,0.018615723
305.95,309.0624,3.1123962
311.7,309.08963,2.610382
309.2,310.6453,1.445282
314.95,311.12946,3.8205566
310.35,313.24017,2.8901672
311.65002,313.32758,1.6775513
310.9,313.1832,2.2832031
308.85,312.67783,3.8278198
306.0,311.43304,5.4330444
304.85,309.30478,4.454773
303.6,307.21423,3.6142273
305.05,305.4212,0.37121582
310.2,304.92728,5.2727356
318.69998,307.00046,11.699524
326.94998,312.4799,14.470093
324.1,320.4173,3.6827087
321.3,325.22867,3.9286804
316.75003,326.06842,9.31839
321.4,323.37247,1.9724731
315.75,322.13458,6.3845825
306.3,319.5865,13.286499
307.95,313.9419,5.9918823
319.55,309.93777,9.612213
324.15002,312.27948,11.870544
324.6,317.75543,6.844574
316.55002,322.61063,6.060608
314.65,322.4045,7.7545166
304.25,319.81595,15.5659485
308.55002,313.39407,4.844055
300.7,309.62323,8.923218
300.5,305.1411,4.6411133
307.45,302.02515,5.4248657
309.15002,303.08206,6.0679626
300.05002,305.8601,5.810089
297.5,304.9133,7.4132996
298.25,302.22482,3.974823
296.5,300.20004,3.7000427
296.2,298.4651,2.2650757
293.8,297.35983,3.559845
274.35,296.00443,21.654419
256.75,288.15552,31.405518
255.6,275.29266,19.692657
260.05002,265.1166,5.0665894
260.8,260.531,0.26898193
260.0,259.4183,0.58169556
262.3,259.6296,2.6703796
258.55,261.10513,2.5551453
248.65,261.36353,12.7135315
249.0,258.08798,9.087982
247.95001,255.04694,7.096924
249.15001,252.68999,3.539978
248.8,251.68314,2.883133
242.3,251.31012,9.010117
242.85,249.27745,6.4274445
247.8,247.66708,0.13291931
246.85,248.20033,1.3503265
249.75002,248.88998,0.8600311
257.85,250.3862,7.463806
252.1,254.25258,2.1525726
256.0,255.73611,0.2638855
254.70001,257.38342,2.6834106
261.05,258.06134,2.9886475
261.6,260.29172,1.3082886
260.75,262.3869,1.6369019
253.55002,263.48227,9.932251
255.1,261.5345,6.4344788
264.75,259.8185,4.931488
268.19998,261.7918,6.4081726
268.25,265.3527,2.8973083
279.25,268.3166,10.933411
279.0,273.97028,5.029724
275.6,278.46692,2.8669128
265.2,279.89825,14.698242
261.4,276.2279,14.827911
265.45,270.92407,5.47406
265.05002,268.1426,3.0925903
265.30002,266.83206,1.5320435
269.75,266.519,3.2309875
265.75,268.1562,2.406189
270.45,268.5289,1.9211121
265.30002,270.06076,4.760742
262.05,269.67075,7.620758
267.3,267.7802,0.4802246
260.35,267.79968,7.4496765
264.05002,266.0188,1.9687805
267.65,265.57104,2.078949
270.55002,266.8422,3.7078247
265.9,269.22354,3.3235474
267.1,269.61215,2.512146
271.90002,269.7161,2.1839294
271.2,271.29153,0.09152222
269.65,272.52423,2.874237
266.65,272.72473,6.0747375
269.8,271.5098,1.7098083
270.2,271.3156,1.1156006
269.65,271.58508,1.9350891
281.15,271.72495,9.425049
274.95,275.76556,0.81555176
273.5,277.47592,3.9759216
273.75,277.45612,3.7061157
271.1,276.95105,5.8510437
277.05002,275.49838,1.5516357
275.80002,276.27112,0.47109985
280.0,276.99493,3.005066
283.0,278.96246,4.0375366
290.3,281.71094,8.58905
301.4,286.4141,14.985901
309.5,294.24323,15.256775
309.0,303.4867,5.5133057
307.40002,309.74258,2.3425598
307.80002,312.04276,4.242737
305.45,312.16003,6.710022
310.25,310.42996,0.17996216
326.7,310.37646,16.323547
330.35,317.09906,13.250946
337.0,325.12006,11.879944
331.15,333.2982,2.1481934
332.44998,336.0967,3.6467285
330.40002,336.34772,5.947693
324.7,334.64682,9.946808
322.44998,330.5695,8.119507
317.90002,326.2405,8.340485
314.2,321.6433,7.4432983
311.9,317.25012,5.350128
317.80002,313.70175,4.0982666
312.45,314.013,1.5629883
300.55,313.5549,13.004913
313.4,308.65707,4.74292
316.05002,308.93564,7.11438
316.9,311.85443,5.0455627
307.35,315.04236,7.6923523
308.6,313.5824,4.9823914
317.40002,311.60123,5.7987976
318.65002,313.4502,5.199829
319.05002,316.39114,2.6588745
317.1,318.82312,1.723114
322.1,319.44202,2.6579895
321.05002,321.11444,0.06442261
328.0,322.07718,5.922821
327.0,325.10886,1.8911438
326.8,327.30408,0.50408936
330.30002,328.2942,2.0058289
333.75,329.80966,3.9403381
330.05,332.236,2.1860046
325.2,332.58713,7.3871155
328.69998,330.16486,1.4648743
345.2,328.9865,16.213501
342.9,335.07773,7.8222656
353.5,340.56516,12.934845
348.85,348.01288,0.8371277
355.55,351.45535,4.094635
351.65,354.72403,3.0740356
367.35,355.0378,12.312195
361.9,360.2411,1.658905
360.5,363.00793,2.5079346
357.35,363.19662,5.8466187
349.5,361.04633,11.546326
344.6,355.7272,11.127197
339.6,349.3237,9.723694
329.4,343.0015,13.601501
331.05002,335.19696,4.146942
324.75,330.4936,5.7435913
326.6,326.2875,0.3125
320.1,324.64865,4.548645
321.8,322.1291,0.32910156
316.2,321.0246,4.824585
322.30002,318.76562,3.5343933
325.95,319.37335,6.57666
311.7,322.20547,10.505463
316.65002,319.35825,2.7082214
313.7,317.5893,3.8892822
307.55,315.68442,8.13443
304.0,312.14224,8.142242
296.2,308.0566,11.856598
309.65,302.42813,7.221863
307.0,303.3172,3.6828003
311.80002,305.0858,6.7142334
321.75003,308.47485,13.275177
322.90002,315.0906,7.8094177
311.1,320.91623,9.816223
316.05002,319.7838,3.7337952
322.1,318.55615,3.5438538
320.45,319.93478,0.5152283
320.25,320.99908,0.7490845
322.90002,321.4668,1.4332275
321.35,322.54428,1.1942749
314.55,322.80148,8.251495
317.30002,320.05893,2.7589111
314.6,318.33698,3.736969
310.30002,316.52777,6.2277527
307.50003,313.73886,6.2388306
293.4,310.6102,17.210205
280.05,303.33002,23.28003
297.9,292.68076,5.2192383
294.05,291.09552,2.9544678
288.6,291.58017,2.9801636
296.9,290.804,6.0960083
291.75,293.0532,1.3031921
293.65002,293.66565,0.015625
